,pincode,state,latitude,longitude
588,415109,Maharashtra,17.4174,74.0734
589,415110,Maharashtra,17.3263,74.1996
590,415111,Maharashtra,17.1546,74.0572
591,415112,Maharashtra,17.2153,73.9255
592,415114,Maharashtra,17.3078,74.0852
593,415115,Maharashtra,17.3553,74.1778
594,415116,Maharashtra,17.4982,74.2413
595,415118,Maharashtra,17.1531,74.1096
596,415120,Maharashtra,17.37,74.0631
597,415122,Maharashtra,17.2409,74.1214
598,415124,Maharashtra,17.2698,74.196
599,415202,Maharashtra,17.9322,73.341
600,415203,Maharashtra,17.9777,73.2566
601,415205,Maharashtra,17.352,73.9785
602,415206,Maharashtra,17.3859,73.8422
603,415207,Maharashtra,17.4044,73.7478
604,415208,Maharashtra,17.964,73.1237
605,415209,Maharashtra,17.3029,74.0286
606,415210,Maharashtra,17.3343,73.8515
607,415211,Maharashtra,17.2977,73.9504
608,415212,Maharashtra,17.2953,73.9918
609,415213,Maharashtra,18.066,73.3152
610,415214,Maharashtra,18.0401,73.2248
611,415301,Maharashtra,17.4282,74.8917
612,415302,Maharashtra,17.1442,74.306
613,415303,Maharashtra,17.1913,74.3444
614,415304,Maharashtra,17.3229,74.31
615,415305,Maharashtra,17.2898,74.3951
616,415306,Maharashtra,17.3074,74.8829
617,415307,Maharashtra,17.2378,74.7686
618,415308,Maharashtra,17.3532,74.7673
619,415309,Maharashtra,17.3381,74.6634
620,415310,Maharashtra,17.3907,74.5705
621,415311,Maharashtra,17.2725,74.5362
622,415312,Maharashtra,17.4528,74.6484
623,415313,Maharashtra,17.1244,74.3552
624,415315,Maharashtra,17.536,74.9099
625,415401,Maharashtra,16.9699,74.2089
626,415402,Maharashtra,17.0062,74.0141
627,415403,Maharashtra,16.9941,74.278
628,415404,Maharashtra,17.1292,74.2118
629,415405,Maharashtra,17.079,73.9721
630,415406,Maharashtra,17.0969,74.2097
631,415407,Maharashtra,17.032,74.1872
632,415408,Maharashtra,17.0052,74.0819
633,415409,Maharashtra,17.0474,74.2863
634,415410,Maharashtra,17.0916,74.1275
635,415411,Maharashtra,16.9278,74.2858
636,415412,Maharashtra,16.9198,74.1694
637,415413,Maharashtra,17.0863,74.3363
