Pincode,MMI State,latitude,longitude
522238,Andhra Pradesh,16.5079,80.5073
522020,Andhra Pradesh,16.5834,80.3133
533449,Andhra Pradesh,17.1808,82.3363
533445,Andhra Pradesh,17.1602,82.2321
533262,Andhra Pradesh,16.7894,82.0718
533468,Andhra Pradesh,16.8384,82.1512
533263,Andhra Pradesh,16.7578,82.1159
533464,Andhra Pradesh,16.7184,82.2007
533005,Andhra Pradesh,17.0111,82.2251
533006,Andhra Pradesh,16.9549,82.1516
533016,Andhra Pradesh,16.915,82.1918
533260,Andhra Pradesh,16.8626,82.0914
533462,Andhra Pradesh,16.893,82.1297
533431,Andhra Pradesh,17.1842,82.1342
533433,Andhra Pradesh,17.1121,82.1553
533407,Andhra Pradesh,17.4641,82.4618
533447,Andhra Pradesh,17.0902,82.301
533450,Andhra Pradesh,17.0931,82.2223
533448,Andhra Pradesh,17.0984,82.339
533344,Andhra Pradesh,16.9108,82.0768
533432,Andhra Pradesh,17.2466,82.1615
533430,Andhra Pradesh,17.2982,82.2078
533446,Andhra Pradesh,17.3826,82.312
533406,Andhra Pradesh,17.3,82.3878
533434,Andhra Pradesh,16.9938,82.1054
533440,Andhra Pradesh,17.0376,82.1609
533444,Andhra Pradesh,17.2211,82.2771
533461,Andhra Pradesh,16.8584,82.2627
533463,Andhra Pradesh,16.7771,82.2725
533408,Andhra Pradesh,17.2152,82.4369
533401,Andhra Pradesh,17.3619,82.5075
533211,Andhra Pradesh,16.6636,82.0286
533241,Andhra Pradesh,16.6328,81.9922
533577,Andhra Pradesh,16.6184,82.0359
533216,Andhra Pradesh,16.6391,82.1034
533228,Andhra Pradesh,16.6778,81.9547
533233,Andhra Pradesh,16.7861,81.8788
533232,Andhra Pradesh,16.8041,81.8998
533217,Andhra Pradesh,16.4907,82.006
533210,Andhra Pradesh,16.4432,81.9932
533215,Andhra Pradesh,16.5247,81.9754
533218,Andhra Pradesh,16.5378,82.0057
533201,Andhra Pradesh,16.5774,82.0171
533221,Andhra Pradesh,16.5889,81.9852
533222,Andhra Pradesh,16.5501,82.1057
533213,Andhra Pradesh,16.5224,82.0633
533239,Andhra Pradesh,16.6207,81.9558
533214,Andhra Pradesh,16.5787,81.935
533229,Andhra Pradesh,16.6598,81.9049
533236,Andhra Pradesh,16.764,81.8186
533237,Andhra Pradesh,16.7837,81.7815
533220,Andhra Pradesh,16.6592,82.1771
533305,Andhra Pradesh,16.7355,82.0175
533306,Andhra Pradesh,16.6961,82.056
533307,Andhra Pradesh,16.785,81.9465
533309,Andhra Pradesh,16.7284,81.9427
533212,Andhra Pradesh,16.6091,82.2437
